Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	10000	0	7000	1000	2000	0	70	10	20
2	16000	4000	8000	2000	2000	25	50	12.5	12.5
3	15000	5000	8000	1000	1000	33.33	53.33	6.67	6.67
4	9000	3000	1000	4000	1000	33.33	11.11	44.44	11.11
5	56000	0	10000	8000	38000	0	17.86	14.29	67.86
6	12000	4000	5000	1000	2000	33.33	41.67	8.33	16.67
7	17000	5000	8000	2000	2000	29.41	47.06	11.76	11.76
8	17000	5000	8000	2000	2000	29.41	47.06	11.76	11.76
9	14000	4000	4000	3000	3000	28.57	28.57	21.43	21.43
10	14000	4000	6000	2000	2000	28.57	42.86	14.29	14.29
11	23000	5000	8000	6000	4000	21.74	34.78	26.09	17.39
12	17000	4000	9000	2000	2000	23.53	52.94	11.76	11.76
13	13000	4000	4000	2000	3000	30.77	30.77	15.38	23.08
14	17000	4000	7000	4000	2000	23.53	41.18	23.53	11.76
15	18000	4000	11000	2000	1000	22.22	61.11	11.11	5.56
16	13000	5000	5000	1000	2000	38.46	38.46	7.69	15.38
17	13000	3000	8000	1000	1000	23.08	61.54	7.69	7.69
18	10000	3000	1000	4000	2000	30	10	40	20
19	18000	0	12000	4000	2000	0	66.67	22.22	11.11
20	27000	6000	15000	4000	2000	22.22	55.56	14.81	7.41
21	14000	4000	6000	2000	2000	28.57	42.86	14.29	14.29
22	23000	4000	15000	2000	2000	17.39	65.22	8.7	8.7
23	17000	5000	3000	6000	3000	29.41	17.65	35.29	17.65
24	18000	5000	7000	2000	4000	27.78	38.89	11.11	22.22
25	23000	2000	12000	1000	8000	8.7	52.17	4.35	34.78
